fold,model,mae,rmse,r2,bias,n
fold_1_2020-12-25,predict_zero,0.4558759225030647,1.4847981797447778,-0.0002636947306418058,-0.024107984255044766,4043
fold_1_2020-12-25,train_mean,0.4550923183506488,1.484874034644266,-0.0003658996514139812,-0.02839822339822442,4043
fold_1_2020-12-25,persistence,0.5462517602618386,2.12560807863897,-1.0499630690997699,0.0047728372746483685,4043
fold_1_2020-12-25,hive_mean,0.4665633530428962,1.4864608357223419,-0.002505111225719503,-0.02913497999632623,4043
fold_1_2020-12-25,hive_month_mean,0.5234770971863726,1.5331108237913127,-0.06641624629833931,0.0037238721785163996,4043
fold_2_2021-06-25,predict_zero,0.5216888849449948,1.734263716685784,-0.0008496178287480394,0.05052921286263345,4525
fold_2_2021-06-25,train_mean,0.5231871583412004,1.7343952368366513,-0.0010014250570302696,0.0548579976064759,4525
fold_2_2021-06-25,persistence,0.6277650250980449,1.983323041138203,-0.3089572594448404,0.0052070911944943135,4525
fold_2_2021-06-25,hive_mean,0.571124619324543,1.7514950285062123,-0.02083692185768915,0.029916365408547318,4525
fold_2_2021-06-25,hive_month_mean,0.5702071107917125,1.7619321538723753,-0.033039466592819755,0.029632327123330714,4525
fold_3_2021-12-25,predict_zero,0.6200537192362228,1.9759263809026684,-0.006142043450423351,-0.15438231650996226,4376
fold_3_2021-12-25,train_mean,0.6192489959244142,1.9766980303616468,-0.006928044964242819,-0.16396322801005697,4376
fold_3_2021-12-25,persistence,0.6624427956118715,2.4493642388623087,-0.5460535186405353,0.02012356564136167,4376
fold_3_2021-12-25,hive_mean,0.6500480257667753,1.982492592070993,-0.012840185954169803,-0.18125170719440356,4376
fold_3_2021-12-25,hive_month_mean,0.7101077605632393,2.0753906437371605,-0.10998596376486258,-0.14834686779808678,4376
fold_4_2022-06-25,predict_zero,0.4536283537925217,1.7749809223715736,-0.004385063260460065,0.11728203646286431,3867
fold_4_2022-06-25,train_mean,0.46519779123946703,1.7766257746362517,-0.006247427524687099,0.13998908670212737,3867
fold_4_2022-06-25,persistence,0.5532541724178996,2.114168448060731,-0.42492511278496803,0.018292038896131867,3867
fold_4_2022-06-25,hive_mean,0.4986872188218453,1.781280465348593,-0.011526993171978805,0.16805729391758145,3867
fold_4_2022-06-25,hive_month_mean,0.5411952878165075,1.7959983001402466,-0.02831153824016064,0.07675189909001683,3867
