fraction,hives,rows_mean,repeats,skill_mean,skill_sd,skill_min,skill_max,share_negative
0.25,18,175,8,0.012234749518931462,0.05868079046614977,-0.07021600717527365,0.1019083985017906,0.375
0.4,28,260,8,-0.008484114309781736,0.0916831353049798,-0.1466286799458996,0.14873764716622237,0.5
0.55,38,332,8,-0.019570025826831785,0.049128056786066875,-0.08665122343272799,0.04199230736064227,0.625
0.7,49,424,8,0.058607635376739686,0.037408962037787465,-0.0006206089864848607,0.1012318853455228,0.125
0.85,60,525,8,0.0715965894709232,0.029763559332579907,0.01789589699415109,0.10682944150244922,0.0
1.0,70,622,1,0.07900223589576652,,0.07900223589576652,0.07900223589576652,0.0
