seed,mae,rmse,r2,bias,n,model
0,0.5059480956191444,1.6928294951245642,0.08643531914582037,0.08177702935134129,3867,rf
1,0.5068292467451823,1.693099543474863,0.08614382338256199,0.08454440460676815,3867,rf
2,0.5029332776236835,1.6850043217980728,0.09486177813529906,0.08055030089012988,3867,rf
0,0.43387418918785753,1.6413780346108835,0.1411247245317767,0.08704456353917259,3867,hist_gb
1,0.4567825667043697,1.620020323365114,0.1633307802453977,0.04805797472608117,3867,hist_gb
2,0.44611209756113346,1.6313521499077888,0.15158506388879955,0.06398121416532032,3867,hist_gb
