fold,model,mae,rmse,r2,bias,n,skill_vs_naive,baseline_mae,rung,n_features,honest_label
fold_1_2020-07-22,history+sensors / rf,1.3050942964819887,2.7062515248177674,-0.19428163875835103,-0.13212576258959927,689,-0.11539524737698104,1.1700733883805883,history+sensors,35,deployable
fold_2_2021-01-22,history+sensors / rf,2.013340569448008,3.529772623954636,0.4870015412483504,0.21449048549508168,419,0.17481629446506586,2.4398695174704628,history+sensors,35,deployable
fold_3_2021-07-22,history+sensors / rf,1.193652247359259,2.4173059220151742,0.12469007663221554,0.03349859724436867,556,0.04563439027648164,1.2507284788950668,history+sensors,35,deployable
fold_4_2022-01-22,history+sensors / rf,2.386956569992875,4.528241384933066,0.2491586393623646,-0.5164623866127573,433,0.19898609477094964,2.9799190181477857,history+sensors,35,deployable
fold_1_2020-07-22,history+sensors / hist_gb,1.5431469581817143,2.7721651158407927,-0.2531660679379457,-0.013472880789006134,689,-0.3188462993056098,1.1700733883805883,history+sensors,35,deployable
fold_2_2021-01-22,history+sensors / hist_gb,2.142701613295856,3.7690630303446393,0.4150895240202871,0.2978023969861132,419,0.12179663791311912,2.4398695174704628,history+sensors,35,deployable
fold_3_2021-07-22,history+sensors / hist_gb,1.268446152680407,2.490747411467728,0.07069559581756957,-0.02233097377956428,556,-0.014165883390608203,1.2507284788950668,history+sensors,35,deployable
fold_4_2022-01-22,history+sensors / hist_gb,2.555716765882056,4.802050078423448,0.15561128867580853,-0.7547248922223996,433,0.14235361755884202,2.9799190181477857,history+sensors,35,deployable
fold_1_2020-07-22,history+sensors+weather_core / rf,1.3236863763886784,2.7310871122606555,-0.21630234569846096,-0.07431097798642591,689,-0.13128491728257696,1.1700733883805883,history+sensors+weather_core,40,deployable
fold_2_2021-01-22,history+sensors+weather_core / rf,2.018432432364118,3.515852390427332,0.491039748884154,0.18478886275911036,419,0.1727293537989154,2.4398695174704628,history+sensors+weather_core,40,deployable
fold_3_2021-07-22,history+sensors+weather_core / rf,1.1544092807427868,2.4033928516444867,0.1347369654634566,0.015931433298299057,556,0.07701047811541906,1.2507284788950668,history+sensors+weather_core,40,deployable
fold_4_2022-01-22,history+sensors+weather_core / rf,2.41825666342963,4.545315612107252,0.2434857060789236,-0.5489265103837733,433,0.18848242227309442,2.9799190181477857,history+sensors+weather_core,40,deployable
fold_1_2020-07-22,history+sensors+weather_core / hist_gb,1.5285012716308797,2.776673695588283,-0.2572456183443945,-0.03286084821330033,689,-0.30632940361660976,1.1700733883805883,history+sensors+weather_core,40,deployable
fold_2_2021-01-22,history+sensors+weather_core / hist_gb,2.093991232932965,3.6496606800138602,0.451561951732682,0.05902393887052297,419,0.14176097617551597,2.4398695174704628,history+sensors+weather_core,40,deployable
fold_3_2021-07-22,history+sensors+weather_core / hist_gb,1.2948796597997083,2.5625390401412087,0.01635225377583449,-0.040545139663472854,556,-0.035300372262768054,1.2507284788950668,history+sensors+weather_core,40,deployable
fold_4_2022-01-22,history+sensors+weather_core / hist_gb,2.5189476450209902,4.745984386603364,0.17521328089279897,-0.7136682539389066,433,0.15469258403314579,2.9799190181477857,history+sensors+weather_core,40,deployable
fold_1_2020-07-22,history+sensors+weather / rf,1.738075025282305,3.2236913229926465,-0.6946395548850293,-0.2636209780072854,689,-0.48544103518826764,1.1700733883805883,history+sensors+weather,51,deployable
fold_2_2021-01-22,history+sensors+weather / rf,2.0362156515985315,3.497646152183489,0.4962972277059593,0.20560089935031237,419,0.16544075942652048,2.4398695174704628,history+sensors+weather,51,deployable
fold_3_2021-07-22,history+sensors+weather / rf,1.1821837389968284,2.396799439533125,0.13947793840613087,-0.011940397558277475,556,0.054803853158275406,1.2507284788950668,history+sensors+weather,51,deployable
fold_4_2022-01-22,history+sensors+weather / rf,2.4388840252394313,4.527883686537329,0.24927725677676005,-0.5273684157849475,433,0.18156030067039974,2.9799190181477857,history+sensors+weather,51,deployable
