fold,model,mae,rmse,r2,bias,n
hives_1,hist_gb (leave-hives-out),0.6632584834193911,2.195550758569147,0.04934761335197213,-0.008112103345165173,4971
hives_2,hist_gb (leave-hives-out),0.4431882968141125,1.5548642493441223,0.0943018068714071,0.013081523977097534,4709
hives_3,hist_gb (leave-hives-out),0.49543922578664584,1.4948813383185198,0.0935941644404279,-0.037062926788739174,7802
hives_4,hist_gb (leave-hives-out),0.6038231724192245,2.1074357938568093,0.13469433646374696,-0.025136209544152813,4356
hives_5,hist_gb (leave-hives-out),0.42196933240486145,1.4051801373650419,0.08312051108436125,0.005704564533451447,4377
