fold,rule,mae,rmse,r2,bias,n,baseline_mae,skill_vs_naive
fold_1_2020-07-22,absolute,1.3375836754661856,2.459349950274938,0.013695306730081125,-0.028733602654579197,689,1.1700733883805883,-0.1431622056779156
fold_2_2021-01-22,absolute,2.1173987500135567,4.131711456171723,0.2971177631695774,0.3780409372619113,419,2.4398695174704628,0.13216721843028223
fold_3_2021-07-22,absolute,1.1655703648531084,2.3792456545062053,0.15203643968516878,0.08102894652898342,556,1.2507284788950668,0.06808681138946304
fold_4_2022-01-22,absolute,2.442876883090216,4.622721323918778,0.21749976723920128,-0.8623617751944238,433,2.9799190181477857,0.1802203790730449
fold_1_2020-07-22,relative,1.4090834300341812,2.7032584438220257,-0.19164137792374558,-0.10393861819282099,689,1.1700733883805883,-0.20426927407039752
fold_2_2021-01-22,relative,2.3163899460709754,4.547708696767265,0.14845446577134935,0.06389497913233935,419,2.4398695174704628,0.050609088115295964
fold_3_2021-07-22,relative,1.192421045105879,2.5139567704457373,0.053295959207776966,-0.05360490264939075,556,1.2507284788950668,0.046618778394410976
fold_4_2022-01-22,relative,2.89269668966095,5.316105487915081,-0.03484720053028423,-1.5008442011321823,433,2.9799190181477857,0.029270033163871
