fold,model,mae,rmse,r2,bias,n,baseline_mae,skill_vs_naive
fold_1_2020-07-22,pooled,1.3050942964819887,2.7062515248177674,-0.1942816387583508,-0.1321257625895993,689,1.1700733883805883,-0.11539524737698104
fold_1_2020-07-22,gated:flow_vs_rest,1.3760061711341918,2.741638200920856,-0.22571845219147968,-0.09152214223969118,689,1.1700733883805883,-0.17599988581794834
fold_1_2020-07-22,gated:colony_cycle,1.295955537666733,2.6333861821039224,-0.13083578559829556,-0.10862956135397861,689,1.1700733883805883,-0.10758483231583349
fold_1_2020-07-22,gated:season,1.295955537666733,2.6333861821039224,-0.13083578559829556,-0.10862956135397864,689,1.1700733883805883,-0.10758483231583349
fold_2_2021-01-22,pooled,2.0133405694480087,3.5297726239546363,0.48700154124835027,0.21449048549508165,419,2.4398695174704628,0.17481629446506564
fold_2_2021-01-22,gated:flow_vs_rest,2.095461111830245,3.582816430660523,0.4714674804632766,0.2829830105915159,419,2.4398695174704628,0.14115853457494876
fold_2_2021-01-22,gated:colony_cycle,2.252961406445679,3.8148764822073256,0.4007837791601926,-0.05072682872450394,419,2.4398695174704628,0.07660578145119867
fold_2_2021-01-22,gated:season,2.2631213605164993,3.819677113485551,0.3992747257955672,-0.06315357768546613,419,2.4398695174704628,0.07244164316508506
fold_3_2021-07-22,pooled,1.193652247359259,2.4173059220151742,0.12469007663221554,0.033498597244368745,556,1.2507284788950668,0.04563439027648164
fold_3_2021-07-22,gated:flow_vs_rest,1.189679767472222,2.460104848212433,0.09342058462207836,0.059124401814268326,556,1.2507284788950668,0.04881052318947532
fold_3_2021-07-22,gated:colony_cycle,1.135686586026753,2.3286105920650284,0.18774506762108745,-0.034882904344438075,556,1.2507284788950668,0.09197990995611238
fold_3_2021-07-22,gated:season,1.201951042519597,2.4332301072697904,0.11311975114813144,0.001455987298420892,556,1.2507284788950668,0.038999221012830376
fold_4_2022-01-22,pooled,2.386956569992875,4.528241384933066,0.2491586393623646,-0.5164623866127575,433,2.9799190181477857,0.19898609477094964
fold_4_2022-01-22,gated:flow_vs_rest,2.410261994726841,4.603322527878123,0.22405335833164386,-0.5702659950622258,433,2.9799190181477857,0.19116526991227556
fold_4_2022-01-22,gated:colony_cycle,2.3583130820354032,4.607291254393626,0.2227148262225117,-0.6058008198476891,433,2.9799190181477857,0.2085982646933644
fold_4_2022-01-22,gated:season,2.367108919213043,4.600820516117601,0.2248966188270516,-0.5967779381447647,433,2.9799190181477857,0.20564656126650183
