segment,value,mae,rmse,r2,bias,n,baseline_mae,baseline_rule,skill_vs_naive,skill_vs_pooled_naive
hive_id,5,0.2670252617022028,0.7888016853278087,0.19803162238628258,-0.04494499996313067,110,0.280038987682979,predict_zero,0.04647112206929038,0.4113567649161245
hive_id,17,0.3603811354269991,1.0858666205875387,0.17382433851641832,-0.12493869738130067,82,0.3762401290797159,persistence,0.0421512550814499,0.20555861992738556
hive_id,21,0.6465361024211437,1.5252144789249527,0.5226569682763755,0.07435806822589994,108,0.6895335897291467,persistence,0.062357349878912616,-0.4252550507829438
hive_id,26,0.5329646678373415,1.5393673550343565,0.02724105182584835,0.09102458300018035,167,0.5731013025002574,hive_month_mean,0.070034101279848,-0.17489275831533724
hive_id,27,0.1663369372083655,0.26745174258014826,-0.9021884045759405,0.039525889161469104,32,0.15409164682767315,hive_mean,-0.0794675807079066,0.6333189144423634
hive_id,49,0.4480855298253188,1.304935210209429,0.1579239702663,0.0070618016686527976,148,0.465342950363336,predict_zero,0.03708538084555224,0.012218865776053467
hive_id,56,0.25336716308250523,0.7858713783175925,0.20068210944390463,-0.061755574216201876,110,0.26402283922805725,predict_zero,0.04035891810233838,0.4414653295715526
hive_id,57,0.24316305480934763,0.6015767246201542,0.327008889580791,0.022745656571546778,128,0.26532904769466714,hive_mean,0.0835415235456145,0.4639597530083749
hive_id,58,0.2782233438087492,0.64737426335426,-0.16023408352259016,0.023813261146234943,69,0.23036230592374127,predict_zero,-0.2077641899489049,0.38667117810717444
hive_id,62,1.7924773063952177,3.1570157132790246,-0.20381375499649423,-1.711345262303398,18,1.5227131223771433,hive_mean,-0.17716021491752776,-2.9514225497797084
hive_id,67,0.3402050056614254,0.8071138096262422,0.0022556446697100663,0.0010015095909710497,152,0.33292313930404865,predict_zero,-0.02187251499730225,0.25003584362139164
hive_id,69,0.5026392444300125,2.121494464356134,0.24703905575823315,-0.05823747498369259,77,0.5728675165445609,predict_zero,0.12259077375891958,-0.10804194717490523
hive_id,70,0.4915753519261675,2.1259498698432093,0.028117598645504116,0.0897619296737173,142,0.47475807972873607,predict_zero,-0.03542282462478652,-0.08365217433256356
hive_id,75,0.3393120000965894,1.2349911252692116,0.0750330377731846,0.08752581057902556,167,0.3627583380674928,predict_zero,0.06463349152994824,0.25200442772194465
hive_id,82,1.4302499314128054,2.7085426922761804,0.1296228896583953,-0.4541619518396211,35,1.5003135974159714,predict_zero,0.04669934747231408,-2.1529112310888885
hive_id,88,0.1298093125179976,0.28374927999783384,0.18135186780056634,-0.021968589590723227,76,0.1288930050600058,persistence,-0.0071090549682288895,0.7138421541935425
hive_id,95,0.3122853283556545,0.9199140318498209,0.161513845110973,-0.0633208072791411,94,0.33065371942727834,predict_zero,0.05555174489928483,0.3115833132016126
