hive_id,measurement_date,end_of_day_weight_kg,removed_kg,weight_before_kg,weight_after_7d_kg,month
0,2020-05-17,40.2903404255319,21.354081666640695,61.6444220921726,34.0701804915515,5
0,2020-07-25,28.8262180534918,12.044046981473201,40.870265034965,25.6054367176634,7
3,2020-06-01,53.7515639938319,3.7434009367236953,57.4949649305556,49.1797635605007,6
3,2020-06-02,48.6961299513551,5.055434042476804,53.7515639938319,49.954172740014,6
5,2022-05-13,67.7467767821012,5.616482721026003,73.3632595031272,56.5748767361111,5
5,2022-05-14,49.0544450243563,18.692331757744896,67.7467767821012,56.5174253472222,5
17,2020-07-11,35.7513498379838,26.893286562741494,62.6446364007253,27.6012797641963,7
17,2020-07-12,25.950593379838,9.800756458145802,35.7513498379838,27.3001429011194,7
17,2022-03-23,31.8388444895833,3.059924093491201,34.8987685830745,31.7726415666667,3
17,2022-05-29,47.672927375,29.150976625,76.823904,42.0339770729167,5
21,2020-02-28,33.4154453576389,3.7021169251963997,37.1175622828353,30.6663433460737,2
21,2020-08-02,40.27465959375,8.1184019826389,48.3930615763889,33.4215692708333,8
21,2020-08-03,34.4004825868056,5.8741770069444,40.27465959375,33.2720390208333,8
21,2021-04-18,33.9812391724739,3.852693459104998,37.8339326315789,34.6309500602837,4
21,2022-07-08,70.8823807550452,8.195550685926989,79.0779314409722,52.0622695407098,7
21,2022-08-05,49.9143280897704,5.679682857964799,55.5940109477352,37.2466216239941,8
21,2022-08-06,39.6271529131944,10.287175176576,49.9143280897704,37.5072621354167,8
22,2019-09-23,59.4749702245614,4.0263442164107985,63.5013144409722,47.2962506180556,9
22,2019-09-24,54.7792468993056,4.6957233252558055,59.4749702245614,50.344480192577,9
22,2019-09-26,52.2866174513889,5.200157350694404,57.4867748020833,43.6231307352941,9
22,2019-10-14,60.4208808472222,4.005864164432801,64.426745011655,42.3676463506944,10
22,2019-10-15,49.920293884993,10.5005869622292,60.4208808472222,44.0601133298611,10
22,2019-10-30,37.6195340277778,6.792342145833295,44.4118761736111,39.4270535138889,10
22,2019-11-04,41.4881145034722,3.1619171215278,44.650031625,37.3408664791667,11
22,2019-11-06,39.4270535138889,4.803182842700203,44.2302363565891,25.9152554634146,11
26,2019-10-17,44.6330188442211,3.148751881167499,47.7817707253886,41.6825726618705,10
26,2020-09-13,40.9514634794157,3.444844730543899,44.3963082099596,37.7174168797954,9
26,2021-07-10,64.9161682778416,14.4746612158293,79.3908294936709,53.092187141217,7
26,2021-07-15,61.2856653440367,14.692629340234205,75.9782946842709,49.9486333333333,7
26,2021-07-16,53.9713806228374,7.3142847211993,61.2856653440367,49.5809607843137,7
26,2021-08-20,45.3506747126437,5.1268954022988,50.4775701149425,41.5760574052813,8
26,2021-08-21,41.0451666666667,4.305508045977,45.3506747126437,41.3203967704729,8
26,2022-02-15,32.2319483352468,3.7711526980483043,36.0031010332951,25.2998239355581,2
